Código;Descripción;Precio;Subrubro;Stock;Marca;Rubro
T132C10;10 FUSIBLES VIDRIO 25MM EN BLISTER 10 AMP.;$ 1678,73;FUSIBLES;0;DIVAIO;FUSIBLES
T132C15;10 FUSIBLES VIDRIO 25MM EN BLISTER 15 AMP.;$ 1678,73;FUSIBLES;-37;DIVAIO;FUSIBLES
T132C20;10 FUSIBLES VIDRIO 25MM EN BLISTER 20 AMP.;$ 1678,73;FUSIBLES;17;DIVAIO;FUSIBLES
T132C25;10 FUSIBLES VIDRIO 25MM EN BLISTER 25 AMP.;$ 1678,73;FUSIBLES;17;DIVAIO;FUSIBLES
T132L10;10 FUSIBLES VIDRIO 32MM EN BLISTER 10 AMP.;$ 1657,60;FUSIBLES;0;DIVAIO;FUSIBLES
T132L15;10 FUSIBLES VIDRIO 32MM EN BLISTER 15 AMP.;$ 1657,60;FUSIBLES;0;DIVAIO;FUSIBLES
T132L5;10 FUSIBLES VIDRIO 32MM EN BLISTER 5 AMP.;$ 1657,60;FUSIBLES;7;DIVAIO;FUSIBLES
T114-100;5 FUSIBLES MAXIFICHA EN BLISTER 100 AMP.;$ 3494,68;FUSIBLES;3;DIVAIO;FUSIBLES
T114-20;5 FUSIBLES MAXIFICHA EN BLISTER 20 AMP.;$ 3494,68;FUSIBLES;1;DIVAIO;FUSIBLES
T114-30;5 FUSIBLES MAXIFICHA EN BLISTER 30 AMP.;$ 3494,68;FUSIBLES;1;DIVAIO;FUSIBLES
T114-40;5 FUSIBLES MAXIFICHA EN BLISTER 40 AMP.;$ 3494,68;FUSIBLES;0;DIVAIO;FUSIBLES
T114-50;5 FUSIBLES MAXIFICHA EN BLISTER 50 AMP.;$ 3494,68;FUSIBLES;2;DIVAIO;FUSIBLES
T114-60;5 FUSIBLES MAXIFICHA EN BLISTER 60 AMP.;$ 3494,68;FUSIBLES;1;DIVAIO;FUSIBLES
T114-70;5 FUSIBLES MAXIFICHA EN BLISTER 70 AMP.;$ 3494,68;FUSIBLES;3;DIVAIO;FUSIBLES
T114-80;5 FUSIBLES MAXIFICHA EN BLISTER 80 AMP.;$ 3494,68;FUSIBLES;2;DIVAIO;FUSIBLES
ACU;ACTUADOR DE CIERRE CENTRALIZADO KUBE;$ 3571,62;CIERRE CENTRALIZADO;3;KUBE;ALARMAS Y CIERRES CENTRALIZADOS
FI10034;ACTUADOR DE RALENTI ESCORT/FIESTA/FOCUS REF ORIG XS6U-9F715AA;$ 77108,98;ACTUADOR RALENTI;7;FISPA;SENSORES
FI10055;ACTUADOR DE RALENTI FIESTA/ECOSPORT/KA 2S6A9F715BA / 2S6A9F715BB;$ 36229,28;ACTUADOR RALENTI;4;FISPA;SENSORES
FI10046;ACTUADOR DE RALENTI FIESTA/FOCUS/ESCORT REF ORIG XS4U-9F715DA;$ 75356,22;ACTUADOR RALENTI;5;FISPA;SENSORES
FI23155;AFORADOR RENAULT KANGOO 1.6 16V 170111364R;$ 179371,69;SENSOR NIVEL COMBUSTIBLE;2;FISPA;BOMBAS
FI23157;AFORADOR RENAULT LOGAN SANDERO 2007-14 172025361R;$ 170136,77;SENSOR NIVEL COMBUSTIBLE;2;FISPA;BOMBAS
